property_id,host_id,guest_id,total_listings,availability,neighbourhood,type,price,amenities,booked_nights,stay_nights,propery_reviews,last_review,complaint
552548,477782,776393,1,70,Centrum-West,Entire home,274,[Towels; Wifi; Bed linens; Kitchen; Smoke alarm; Heating; Hot water; Hair dryer; Hangers; Dishes and silverware; Long term stays allowed; Refrigerator; Coffee maker; Shampoo; Cooking basics; Washer; Fire extinguisher; Dishwasher; Microwave; Stove; TV; Extra pillows and blankets; Dryer; Shower gel; Cleaning products; Dedicated workspace; Dining table; Wine glasses; Hot water kettle; Freezer; Bathtub; Room-darkening shades; Waterfront; Drying rack for clothing; Laundromat nearby; Lockbox; Portable fans; Toaster; Ethernet connection; Central heating; Conditioner; Free washer ; Street parking; Clothing storage; Bikes; Game console; Sound system; ],4,4,8,21--May--2022,0
553352,499180,659043,1,173,De Pijp - Rivierenbuurt,Entire home,370,[Towels; Wifi; Bed linens; Kitchen; Smoke alarm; Heating; Hot water; Hair dryer; Dishes and silverware; Refrigerator; Coffee maker; Iron; Cooking basics; Washer; Carbon monoxide alarm; Fire extinguisher; Oven; Private entrance; Dishwasher; Microwave; Stove; TV; Dryer; Cleaning products; Dedicated workspace; Dining table; Wine glasses; Patio or balcony; Hot water kettle; Freezer; Bathtub; Drying rack for clothing; Laundromat nearby; Outdoor dining area; Single level home; Backyard; Portable fans; Toaster; BBQ grill; Nespresso machine; Board games; Free washer ; Free dryer; Garden or backyard; Clothing storage; Barbecue utensils; Netflix; Piano; ],3,3,5,31--May--2022,0
553436,240619,523137,1,217,Oud-Oost,Entire home,166,[Towels; Wifi; Bed linens; Kitchen; Smoke alarm; Heating; Hot water; Hangers; Dishes and silverware; Long term stays allowed; Refrigerator; Iron; Cooking basics; Washer; Carbon monoxide alarm; Oven; Dishwasher; Microwave; TV; Extra pillows and blankets; Dryer; Luggage dropoff allowed; Cleaning products; Dedicated workspace; Dining table; Patio or balcony; Freezer; Outdoor furniture; Room-darkening shades; Drying rack for clothing; Outdoor dining area; Ethernet connection; Central heating; Baking sheet; Free dryer; ],15,9,1,28--January--2022,1
554001,219960,610462,1,267,De Baarsjes - Oud-West,Entire home,695,[Wifi; Kitchen; Smoke alarm; Heating; Long term stays allowed; Washer; Carbon monoxide alarm; Fire extinguisher; First aid kit; TV; Dryer; Dedicated workspace; Patio or balcony; Outdoor dining area; Backyard; High chair; Crib; EV charger; ],2,2,2,29--May--2022,0
554157,492885,758488,1,163,Bos en Lommer,Entire home,130,[Towels; Wifi; Bed linens; Kitchen; Smoke alarm; Heating; Hot water; Hair dryer; Dishes and silverware; Long term stays allowed; Refrigerator; Coffee maker; Shampoo; Iron; Cooking basics; Washer; Carbon monoxide alarm; Fire extinguisher; Oven; Dishwasher; Microwave; Stove; TV; Extra pillows and blankets; Dryer; Shower gel; Cleaning products; Dedicated workspace; Dining table; Wine glasses; Hot water kettle; Freezer; Room-darkening shades; Drying rack for clothing; Lockbox; Ethernet connection; Central heating; Conditioner; Baking sheet; Free dryer; Clothing storage; ],7,7,1,22--November--2021,0
554212,460657,750192,1,175,Bos en Lommer,Entire home,119,[Towels; Wifi; Bed linens; Kitchen; Heating; Hot water; Hair dryer; Hangers; Dishes and silverware; Refrigerator; Coffee maker; Shampoo; Iron; Cooking basics; Washer; Oven; Private entrance; Dishwasher; Stove; TV; Extra pillows and blankets; Dryer; Shower gel; Cleaning products; Dedicated workspace; Wine glasses; Patio or balcony; Hot water kettle; Freezer; Outdoor furniture; Body soap; Outdoor dining area; Lockbox; Nespresso machine; Central heating; Baking sheet; EV charger; Street parking; Free dryer; Clothing storage; Netflix; Stainless steel oven; ],1,1,10,13--May--2022,0
554228,472610,569897,8,344,De Baarsjes - Oud-West,Private room,291,[Towels; Wifi; Heating; Hair dryer; Long term stays allowed; Shampoo; TV; Dryer; Dedicated workspace; Air conditioning; Elevator; ],1,1,2,28--September--2021,1
554231,417330,620247,8,349,De Baarsjes - Oud-West,Private room,281,[Towels; Wifi; Heating; Hair dryer; Long term stays allowed; Shampoo; TV; Dryer; Dedicated workspace; Air conditioning; Elevator; ],1,1,3,14--May--2022,1
554244,274703,647524,1,248,Oostelijk Havengebied - Indische Buurt,Entire home,203,[Towels; Kitchen; Smoke alarm; Heating; Hair dryer; Iron; Washer; Carbon monoxide alarm; Dryer; Backyard; Air conditioning; ],3,3,1,15--May--2022,0
554374,212976,573723,1,208,De Baarsjes - Oud-West,Entire home,139,[Towels; Wifi; Kitchen; Smoke alarm; Heating; Dishes and silverware; Cooking basics; Washer; Private entrance; TV; Cleaning products; Dedicated workspace; Single level home; Backyard; Central heating; Street parking; Garden or backyard; ],2,2,6,26--November--2021,0
554928,286058,566028,1,23,Bos en Lommer,Entire home,104,[Towels; Wifi; Bed linens; Kitchen; Smoke alarm; Heating; Hot water; Hair dryer; Hangers; Dishes and silverware; Long term stays allowed; Refrigerator; Coffee maker; Iron; Cooking basics; Washer; Oven; Private entrance; Dishwasher; Microwave; Stove; TV; Dryer; Shower gel; Cleaning products; Dedicated workspace; Dining table; Wine glasses; Patio or balcony; Hot water kettle; Freezer; Outdoor furniture; Bathtub; Body soap; Drying rack for clothing; Outdoor dining area; Portable fans; Toaster; Nespresso machine; Central heating; Board games; Free dryer; Clothing storage; Sound system; ],4,3,1,29--May--2022,1
555283,310062,524579,1,287,De Baarsjes - Oud-West,Entire home,561,[Towels; Wifi; Bed linens; Kitchen; Smoke alarm; Heating; Hot water; Hair dryer; Hangers; Dishes and silverware; Long term stays allowed; Refrigerator; Coffee maker; Iron; Cooking basics; Washer; Oven; Dishwasher; Microwave; Stove; TV; Dryer; Standard cable; Cleaning products; Dedicated workspace; Dining table; Wine glasses; Patio or balcony; Hot water kettle; Freezer; Outdoor furniture; Room-darkening shades; Drying rack for clothing; Outdoor dining area; Lockbox; Backyard; Toaster; Air conditioning; Nespresso machine; Central heating; Free washer ; Free dryer; Garden or backyard; Clothing storage; Netflix; Sound system; Fire pit; Premium cable; ],3,3,5,24--March--2022,0
