date,amount,currency,merchant,description,id,reportedBalance,,
11/04/2023,-20.01,USD,H-E-B GAS #498,,xYjBqJ7q91H0YZ1V4Q1eHwX0O1OYxMIJbPgvA,-371.19,,
11/04/2023,220.25,USD,Shop Pay Installments payout,,Ee6A71m7JvH8reD1XOD3SQPwrmmN6DHdV55vb,-371.19,,
11/04/2023,21.06,USD,Shopify Payments payout,,KeB5RO0R9dHDOByEx9ymsxdKNzN6bmH1gq576,-371.19,,
11/04/2023,129.2,USD,Shopify Payments payout,,jr609vk9dbUAj1L9OvLyTVQdmKy6VYIvwQz7o,-371.19,,
11/04/2023,-24.41,USD,Starbucks,,aBVXx1LxbJI5PRMmyoM1hKox454J37F9ANVe9,-371.19,,
11/04/2023,-382.53,USD,COMMON SCEN,,AeQB5p15myH4rMdg8JdKu0XajmjZkntbAPJ0k,-371.19,,
11/04/2023,31.74,USD,Shopify Payments payout,,KeB5RO0R9dHDOByEx9ymskDR3E0OkKHyXLVok,-371.19,,
11/04/2023,-100,USD,GA TX PYMT,,nJPxERjEDbHKAJremwr7iEQ7L66xJbhjbqqJg,-371.19,,
10/04/2023,-15.75,USD,AVIVA WHOLESALE,,ekRv5gq5KJuoyOXe4rXetBdj9gVN0dt4QnveY,-767.97,,
10/04/2023,-8.29,USD,Walmart,,mx1rMa0MgoIRwQyeXbyehvM75nRjBMF8qB54J,-767.97,,
10/04/2023,-10,USD,USPS STAMPS ENDICIA,,Yd8xk9nkrvFpMo5xBE5xTmAObZka9Ahz1J6pd,-767.97,,
10/04/2023,72.08,USD,ACH transfer from AFTERPAY 1217,,JeqAEbvEOmHZOE37QN3McNer1pgZV9IX8D1EB,-767.97,,
10/04/2023,55.88,USD,Shop Pay Installments payout,,xYjBqJ7q91H0YZ1V4Q1RUpdVY54LQvUJ4xEBp,-767.97,,
10/04/2023,-202.45,USD,SHOPIFY* 172386226,,dKE4ZAPZgRip31o7X4o7TYb9qgpZobsoEKn1p,-767.97,,
10/04/2023,51.88,USD,ACH transfer from Sezzle,,89m70RA01wU3BPmon9maiXgZEaB1YDfJ34wjX,-767.97,,
10/04/2023,-10.71,USD,Prime Video*HS03N5IS1,,zY4j3vV3oqHPYobyeAbyCBOgek3JvOtMNvwB5,-767.97,,
09/04/2023,-10,USD,USPS STAMPS ENDICIA,,o8mVRBOR1JtkJdv7zZvOHyvXm1zzRBIrnywLM,-395.37,,
09/04/2023,36.69,USD,Shopify Payments payout,,0J45qb1qEAHwdy4veA4qfZOkOD14NefvBxQ0q,-395.37,,
09/04/2023,-17.15,USD,Amazon,,b3OvJ1DJKnh5KZEVMvE4HedLORKK0qcPVonOv,-395.37,,
09/04/2023,-192.5,USD,S W TRADING/ACCSSRY PLZ,,77onvNkvgdIMqkp19VpdIgbL8kppMYU8aEeAw,-395.37,,
09/04/2023,-10,USD,USPS STAMPS ENDICIA,,gvn9bg3bAJfA9rgenKgdtngmvODDXqU6vaJmD,-395.37,,
08/04/2023,-11.25,USD,WONATRADING,,KeB5RO0R9dHDOByEx9yPTxqDDwL7yaIyzBevw,615.07,,
08/04/2023,-12,USD,USPS STAMPS ENDICIA,,k4L0VvAVwZIDne0YAN0ZTNznnoJyD5UbKArDe,615.07,,
08/04/2023,-25,USD,Walmart,,35JvyxByOmIEpRJ4e6JrhMpxx48LvbuPOjr01,615.07,,
08/04/2023,-11.25,USD,WONATRADING,,AeQB5p15myH4rMdg8Jd7S0Drr86dAOFwOEvBA,615.07,,
08/04/2023,-333.6,USD,WWW.ORANGESHINE.COM,,v9v51m81oLU8AwpPjepEibjnnoNrzJFpvd97r,615.07,,
08/04/2023,-124,USD,USPS STAMPS ENDICIA,,yYroB38B7PHPYm1ogX1dsA6aaPYbjXfRJnKo8,615.07,,
07/04/2023,108.05,USD,Shopify Payments payout,,dKE4ZAPZgRip31o7X4o3cgVEqDxNbefQMKjzK,534.47,,
07/04/2023,61.02,USD,Shopify Payments payout,,v9v51m81oLU8AwpPjepVcvgYJO8DMeUVnKPRy,534.47,,
07/04/2023,-87.18,USD,Walmart,,gvn9bg3bAJfA9rgenKg9IRpwgO56VwI6dJ4BV,534.47,,
07/04/2023,-40.67,USD,Papa John's,,5bZek5ykE4tPa3ZbODZaUMLQy3Az6QHNevAyq,534.47,,
07/04/2023,-80,USD,USPS STAMPS ENDICIA,,ZwZ3AenAv0tmb7oBNEobImapRXL61pt8NmLX6,534.47,,
07/04/2023,21.94,USD,Shopify Payments payout,,JeqAEbvEOmHZOE37QN3OCdnDbmo5QDH0ryv6L,534.47,,
07/04/2023,234.17,USD,Shopify Payments payout,,mx1rMa0MgoIRwQyeXbywsnxq5awdMKfvzByoM,534.47,,
07/04/2023,-14,USD,USPS STAMPS ENDICIA,,89m70RA01wU3BPmon9mBI8V3oP5bq3UYNDVpL,534.47,,
07/04/2023,5.9,USD,Shopify Payments payout,,zY4j3vV3oqHPYobyeAbYUkKZePV9OEhnVv3pA,534.47,,
07/04/2023,25.65,USD,Shopify Payments payout,,q53Ydj8dwJIXVm17BD1VSv11k6VppeFEom6DY,534.47,,
07/04/2023,-10,USD,USPS STAMPS ENDICIA,,b3OvJ1DJKnh5KZEVMvEKUo6bdR5AwbfPBnrNn,534.47,,
07/04/2023,127.05,USD,Shopify Payments payout,,KeB5RO0R9dHDOByEx9y8i4R8aO9dJKCED4Kk4,534.47,,
07/04/2023,-36,USD,USPS STAMPS ENDICIA,,o8mVRBOR1JtkJdv7zZvJU7Q9v1nr69irYwQpX,534.47,,
07/04/2023,46.15,USD,Shopify Payments payout,,77onvNkvgdIMqkp19VpqCzeDbkKo0Dt87ekwX,534.47,,
07/04/2023,235.35,USD,ACH transfer from AFTERPAY 1217,,AeQB5p15myH4rMdg8JdAT9bYOwxXEahMX3xoL,534.47,,
07/04/2023,32.36,USD,Shopify Payments payout,,wV09Po8PjDCpKJvqYDvKcJB0xN8Yo9HvPKomR,534.47,,
07/04/2023,262.04,USD,Shopify Payments payout,,k4L0VvAVwZIDne0YAN0Vibv65wMxZmUoaNZgm,534.47,,
06/04/2023,-41.5,USD,Walmart,,0J45qb1qEAHwdy4veA4aIOPJZqpd0YsVRqBx8,272.49,,
